Jahr	Messdatum	Messzeit	Barometer	absLuftfeuchtigkeit	relLuftfeuchtigkeit	Lufttemperatur
2012	27.02.2012	00:00:39	1010.9	2.076	68.5	-3.6
2012	27.02.2012	00:20:38	1010.8	2.025	66.8	-3.6
2012	27.02.2012	00:40:39	1010.6	2.045	64.5	-3
2012	27.02.2012	01:00:38	1010.5	2.046	69	-3.9
2012	27.02.2012	01:20:39	1010.4	2.041	70.4	-4.2
2012	27.02.2012	01:40:39	1010.2	2.021	69.7	-4.2
2012	27.02.2012	02:00:38	1010.1	2.067	71.8	-4.3
2012	27.02.2012	02:20:39	1009.9	2.056	68.8	-3.8
2012	27.02.2012	02:40:39	1009.7	2.039	66.7	-3.5
2012	27.02.2012	03:00:39	1009.5	2.058	66.3	-3.3
2012	27.02.2012	03:20:39	1009.4	2.076	68.4	-3.6
2012	27.02.2012	03:40:39	1009.3	2.074	66.8	-3.3
2012	27.02.2012	04:00:39	1009.2	2.068	67.6	-3.5
2012	27.02.2012	04:20:39	1009.1	2.075	69.9	-3.9
2012	27.02.2012	04:40:39	1009	2.16	68	-3
2012	27.02.2012	05:00:39	1009	2.074	65.3	-3
2012	27.02.2012	05:20:39	1009	2.084	68.1	-3.5
2012	27.02.2012	05:40:39	1009.1	2.092	68.9	-3.6
2012	27.02.2012	06:00:39	1009	2.124	68.4	-3.3
2012	27.02.2012	06:20:38	1009	2.198	74	-3.9
2012	27.02.2012	07:00:39	1009	2.312	79.6	-4.2
2012	27.02.2012	07:20:39	1009	2.305	77.6	-3.9
2012	27.02.2012	07:40:39	1009	2.276	77.8	-4.1
2012	27.02.2012	08:00:39	1009.1	2.254	75.9	-3.9
2012	27.02.2012	08:20:39	1009.1	2.251	74.1	-3.6
2012	27.02.2012	08:40:39	1009.2	2.197	71.8	-3.5
2012	27.02.2012	09:00:39	1009.3	2.167	70.3	-3.4
2012	27.02.2012	09:20:39	1009.4	2.188	68.4	-2.9
2012	27.02.2012	09:40:39	1009.3	2.208	67	-2.5
2012	27.02.2012	10:00:39	1009.4	2.407	74.1	-2.7
2012	27.02.2012	10:20:39	1009.4	2.452	75.5	-2.7
2012	27.02.2012	10:40:39	1009.4	2.547	78.4	-2.7
2012	27.02.2012	11:40:39	1009.6	2.587	74.5	-1.8
2012	27.02.2012	12:00:39	1009.7	2.627	76.8	-2
2012	27.02.2012	12:20:39	1009.8	2.675	78.2	-2
2012	27.02.2012	12:40:39	1009.8	2.596	84.2	-3.4
2012	27.02.2012	13:00:39	1009.8	2.657	84.9	-3.2
2012	27.02.2012	13:20:39	1010	2.59	83.4	-3.3
2012	27.02.2012	13:40:39	1010.2	2.589	83.4	-3.3
2012	27.02.2012	14:20:38	1010.6	2.466	81.3	-3.6
2012	27.02.2012	14:40:39	1010.9	2.426	80.6	-3.7
2012	27.02.2012	15:00:39	1011.2	2.416	82.1	-4
2012	27.02.2012	15:20:39	1011.4	2.385	82.3	-4.2
2012	27.02.2012	15:40:38	1011.7	2.222	75.6	-4
2012	27.02.2012	16:00:38	1012	2.238	77.9	-4.3
2012	27.02.2012	16:40:39	1012.6	2.138	75.6	-4.5
2012	27.02.2012	17:00:39	1012.9	2.115	74.8	-4.5
2012	27.02.2012	17:20:39	1013.2	2.105	75.6	-4.7
2012	27.02.2012	17:40:39	1013.5	2.127	77	-4.8
2012	27.02.2012	18:00:39	1013.9	1.967	70.7	-4.7
2012	27.02.2012	18:20:39	1014.2	2.024	73.9	-4.9
2012	27.02.2012	18:40:38	1014.6	1.975	71.6	-4.8
2012	27.02.2012	19:00:39	1014.9	1.986	73.1	-5
2012	27.02.2012	19:20:39	1015.2	2.088	74	-4.5
2012	27.02.2012	19:40:39	1015.3	1.946	68.5	-4.4
2012	27.02.2012	20:20:38	1015.6	1.928	68.4	-4.5
2012	27.02.2012	20:40:39	1015.8	1.93	69	-4.6
2012	27.02.2012	21:00:39	1016	1.851	67.2	-4.8
2012	27.02.2012	21:20:38	1016.3	1.992	70.7	-4.5
2012	27.02.2012	21:40:39	1016.5	1.981	74.7	-5.3
2012	27.02.2012	22:00:39	1016.7	1.936	74.7	-5.6
2012	27.02.2012	22:20:39	1016.9	1.938	74.8	-5.6
2012	27.02.2012	22:40:39	1017.1	1.948	75.2	-5.6
2012	27.02.2012	23:00:39	1017.2	1.853	72.1	-5.7
2012	27.02.2012	23:20:39	1017.3	1.782	69.9	-5.8
2012	27.02.2012	23:40:39	1017.5	1.786	70.6	-5.9
2012	28.02.2012	00:00:39	1017.6	1.817	68.6	-5.3
2012	28.02.2012	00:20:39	1017.6	1.689	64.3	-5.4
2012	28.02.2012	01:00:39	1017.8	1.679	66.9	-6
2012	28.02.2012	01:20:39	1017.9	1.689	69.4	-6.4
2012	28.02.2012	01:40:39	1017.9	1.733	69.6	-6.1
2012	28.02.2012	02:00:39	1017.9	1.625	71	-7.2
2012	28.02.2012	02:20:38	1017.9	1.665	72.2	-7.1
2012	28.02.2012	02:40:39	1017.9	1.683	74.7	-7.4
2012	28.02.2012	03:00:39	1017.9	1.659	72.5	-7.2
2012	28.02.2012	03:20:39	1017.9	1.646	73.6	-7.5
2012	28.02.2012	03:40:39	1018	1.642	72.3	-7.3
2012	28.02.2012	04:00:38	1018.1	1.636	72.6	-7.4
2012	28.02.2012	04:20:39	1018.1	1.641	75.7	-7.9
2012	28.02.2012	04:40:39	1018.2	1.66	77.2	-8
2012	28.02.2012	05:00:39	1018.4	1.638	76.8	-8.1
2012	28.02.2012	05:20:39	1018.5	1.696	75.3	-7.4
2012	28.02.2012	05:40:39	1018.6	1.602	76.3	-8.3
2012	28.02.2012	06:00:39	1018.8	1.596	76	-8.3
2012	28.02.2012	06:20:39	1019	1.631	77.1	-8.2
2012	28.02.2012	06:40:39	1019.2	1.578	75.8	-8.4
2012	28.02.2012	07:00:39	1019.4	1.595	73.1	-7.8
2012	28.02.2012	07:20:39	1019.6	1.683	75.4	-7.5
2012	28.02.2012	07:40:40	1019.7	1.582	73.1	-7.9
2012	28.02.2012	08:20:39	1020.1	1.549	76.2	-8.7
2012	28.02.2012	08:40:39	1020.2	1.583	77.3	-8.6
2012	28.02.2012	09:00:39	1020.4	1.603	74.7	-8
2012	28.02.2012	10:00:39	1020.5	1.541	67	-7.1
2012	28.02.2012	10:40:40	1020.5	1.573	65.3	-6.5
2012	28.02.2012	11:00:39	1020.5	1.535	64.7	-6.7
2012	28.02.2012	11:20:39	1020.5	1.522	61.3	-6.1
2012	28.02.2012	12:00:40	1020.4	1.588	59.7	-5.2
2012	28.02.2012	12:20:39	1020.2	1.481	56.1	-5.3
2012	28.02.2012	12:40:40	1020	1.502	55.2	-4.9
2012	28.02.2012	13:00:40	1019.7	1.433	50.7	-4.4
2012	28.02.2012	13:20:39	1019.5	1.432	49.9	-4.2
2012	28.02.2012	13:40:39	1019.3	1.485	52.5	-4.4
2012	28.02.2012	14:00:40	1019.1	1.404	50	-4.5
2012	28.02.2012	14:20:39	1018.9	1.491	50	-3.7
2012	28.02.2012	14:40:39	1018.7	1.534	53.4	-4.2
2012	28.02.2012	15:00:39	1018.6	1.523	54.2	-4.5
2012	28.02.2012	15:20:39	1018.4	1.489	52.6	-4.4
2012	28.02.2012	15:40:39	1018.3	1.486	52.5	-4.4
2012	28.02.2012	16:00:40	1018.2	1.461	51.2	-4.3
2012	28.02.2012	16:20:39	1018.1	1.489	53.4	-4.6
2012	28.02.2012	16:40:40	1018	1.503	54.7	-4.8
2012	28.02.2012	17:00:41	1017.9	1.527	56	-4.9
2012	28.02.2012	17:20:39	1017.9	1.506	56.5	-5.2
2012	28.02.2012	17:40:40	1017.8	1.497	57	-5.4
2012	28.02.2012	18:00:39	1017.9	1.522	58.4	-5.5
2012	28.02.2012	18:20:40	1018	1.564	60	-5.5
2012	28.02.2012	18:40:39	1018	1.529	60.5	-5.9
2012	28.02.2012	19:00:40	1018.1	1.528	61.4	-6.1
2012	28.02.2012	19:20:39	1018.2	1.48	60.4	-6.3
2012	28.02.2012	19:40:40	1018.1	1.524	61.7	-6.2
2012	28.02.2012	20:00:39	1018.1	1.471	61.9	-6.7
2012	28.02.2012	20:20:41	1018	1.538	63.7	-6.5
2012	28.02.2012	20:40:40	1017.9	1.572	64.1	-6.3
2012	28.02.2012	21:00:39	1017.8	1.536	65.1	-6.8
2012	28.02.2012	21:20:39	1017.7	1.531	66.4	-7.1
2012	28.02.2012	22:00:41	1017.4	1.682	67.5	-6.1
2012	28.02.2012	22:40:39	1017.1	1.368	70.9	-9.4
2012	28.02.2012	23:00:39	1017	1.352	69	-9.2
2012	28.02.2012	23:20:39	1016.9	1.402	70.4	-9
2012	28.02.2012	23:40:40	1016.7	1.282	70.2	-10.1
2012	01.03.2012	00:00:40	1016.6	1.338	67.7	-9.1
2012	01.03.2012	00:20:39	1016.4	1.288	70.5	-10.1
2012	01.03.2012	00:40:42	1016.2	1.29	70.6	-10.1
2012	01.03.2012	01:00:39	1016.1	1.217	69.3	-10.6
2012	01.03.2012	01:20:41	1016	1.236	71.5	-10.8
2012	01.03.2012	01:40:39	1015.9	1.213	70.2	-10.8
2012	01.03.2012	02:00:39	1015.8	1.241	71.2	-10.7
2012	01.03.2012	02:20:39	1015.7	1.241	71.8	-10.8
2012	01.03.2012	02:40:40	1015.6	1.215	73.7	-11.4
2012	01.03.2012	03:00:39	1015.4	1.181	73.4	-11.7
2012	01.03.2012	03:20:40	1015.1	1.252	75.9	-11.4
2012	01.03.2012	03:40:39	1014.9	1.252	75.3	-11.3
2012	01.03.2012	04:00:41	1014.5	1.286	77.3	-11.3
2012	01.03.2012	04:20:42	1014.3	1.312	74.6	-10.6
2012	01.03.2012	04:40:40	1014.1	1.306	76	-10.9
2012	01.03.2012	05:00:41	1014	1.355	77.6	-10.7
2012	01.03.2012	05:20:39	1013.9	1.348	74.2	-10.2
2012	01.03.2012	05:40:40	1013.8	1.383	76.1	-10.2
2012	01.03.2012	06:00:39	1013.7	1.329	76.7	-10.8
2012	01.03.2012	06:20:39	1013.5	1.304	77.1	-11.1
2012	01.03.2012	06:40:40	1013.5	1.342	75	-10.4
2012	01.03.2012	07:00:40	1013.6	1.313	75.2	-10.7
2012	01.03.2012	07:20:39	1013.7	1.264	75.9	-11.3
2012	01.03.2012	07:40:40	1013.9	1.241	76.4	-11.6
2012	01.03.2012	08:00:39	1014	1.215	78.5	-12.2
2012	01.03.2012	08:20:39	1014	1.203	77.1	-12.1
2012	01.03.2012	08:40:39	1014.1	1.201	69.9	-10.9
2012	01.03.2012	09:00:41	1014.1	1.231	67.8	-10.2
2012	01.03.2012	09:20:39	1014	1.278	67.1	-9.6
2012	01.03.2012	10:00:39	1014	1.357	66.4	-8.7
2012	01.03.2012	10:20:40	1013.8	1.352	68.8	-9.2
2012	01.03.2012	11:00:39	1013.6	1.455	70.6	-8.6
2012	01.03.2012	11:20:39	1013.5	1.454	68.4	-8.2
2012	01.03.2012	11:40:39	1013.4	1.454	68.9	-8.3
2012	01.03.2012	12:00:39	1013.3	1.452	66.7	-7.9
2012	01.03.2012	12:20:40	1013.1	1.492	65.9	-7.4
2012	01.03.2012	12:40:39	1012.9	1.534	65.7	-7
2012	01.03.2012	13:00:39	1012.7	1.558	66.2	-6.9
2012	01.03.2012	13:20:39	1012.5	1.575	65.9	-6.7
2012	01.03.2012	13:40:40	1012.3	1.573	65.3	-6.6
2012	01.03.2012	14:00:39	1012.1	1.676	65.9	-5.9
2012	01.03.2012	14:20:40	1012	1.655	64.1	-5.7
2012	01.03.2012	14:40:39	1011.8	1.633	64.2	-5.9
2012	01.03.2012	15:00:42	1011.7	1.696	63.7	-5.3
2012	01.03.2012	15:20:40	1011.5	1.686	63.3	-5.3
2012	01.03.2012	15:40:40	1011.3	1.724	62.8	-4.9
2012	01.03.2012	16:00:39	1011.1	1.729	63.9	-5.1
2012	01.03.2012	16:20:39	1011	1.753	64.3	-5
2012	01.03.2012	16:40:40	1010.9	1.704	62.5	-5
2012	01.03.2012	17:00:39	1010.8	1.745	63.5	-4.9
2012	01.03.2012	17:20:39	1010.7	1.764	63.7	-4.8
2012	01.03.2012	17:40:40	1010.7	1.775	64.6	-4.9
2012	01.03.2012	18:00:39	1010.6	1.687	61.4	-4.9
2012	01.03.2012	18:20:41	1010.5	1.679	61.1	-4.9
2012	01.03.2012	18:40:39	1010.5	1.689	61	-4.8
2012	01.03.2012	19:00:40	1010.5	1.671	60.8	-4.9
2012	01.03.2012	19:20:39	1010.5	1.708	63.1	-5.1
2012	01.03.2012	19:40:39	1010.4	1.722	64.1	-5.2
2012	01.03.2012	20:00:39	1010.4	1.757	64.9	-5.1
2012	01.03.2012	20:20:39	1010.4	1.746	64.5	-5.1
2012	01.03.2012	20:40:39	1010.4	1.71	64.6	-5.4
2012	01.03.2012	21:00:40	1010.4	1.707	66	-5.7
2012	01.03.2012	21:20:39	1010.4	1.71	62.2	-4.9
2012	01.03.2012	21:40:39	1010.4	1.625	63.3	-5.8
2012	01.03.2012	22:20:40	1010.3	1.605	67.5	-6.8
2012	01.03.2012	22:40:38	1010.2	1.564	67.3	-7.1
2012	01.03.2012	23:00:39	1010.2	1.547	67.6	-7.3
2012	01.03.2012	23:20:40	1010.1	1.529	66.3	-7.2
2012	01.03.2012	23:40:39	1010	1.529	66.8	-7.3
2012	02.03.2012	00:00:39	1010	1.543	62.9	-6.4
2012	02.03.2012	00:20:40	1009.9	1.43	66.5	-8.1
2012	02.03.2012	00:40:39	1009.8	1.458	68.3	-8.2
2012	02.03.2012	01:00:41	1009.8	1.444	65.6	-7.8
2012	02.03.2012	01:20:40	1009.8	1.453	65.5	-7.7
2012	02.03.2012	01:40:40	1009.7	1.409	67.6	-8.5
2012	02.03.2012	02:00:41	1009.6	1.393	66.3	-8.4
2012	02.03.2012	02:20:39	1009.5	1.405	67.9	-8.6
2012	02.03.2012	02:40:39	1009.4	1.425	71.6	-9.1
2012	02.03.2012	03:00:42	1009.2	1.406	69	-8.8
2012	02.03.2012	03:20:39	1009	1.405	66.3	-8.3
2012	02.03.2012	03:40:40	1008.7	1.441	66.4	-8
2012	02.03.2012	04:00:39	1008.5	1.428	63.3	-7.5
2012	02.03.2012	04:20:39	1008.4	1.415	64.2	-7.8
2012	02.03.2012	04:40:39	1008.3	1.418	64.3	-7.8
2012	02.03.2012	05:00:39	1008.1	1.39	64	-8
2012	02.03.2012	05:20:40	1008	1.357	65.5	-8.6
2012	02.03.2012	05:40:39	1008	1.408	67.4	-8.5
2012	02.03.2012	06:00:38	1007.9	1.344	66.9	-9
2012	02.03.2012	06:20:39	1007.9	1.391	66.1	-8.4
2012	02.03.2012	06:40:39	1008	1.503	70.3	-8.2
2012	02.03.2012	07:00:39	1007.9	1.562	71.9	-8
2012	02.03.2012	07:20:41	1008	1.657	75.7	-7.9
2012	02.03.2012	07:40:40	1008.1	1.777	79.9	-7.7
2012	02.03.2012	08:00:39	1008.3	1.782	80.8	-7.8
2012	02.03.2012	08:20:39	1008.4	1.79	80.5	-7.7
2012	02.03.2012	08:40:41	1008.5	1.894	82.6	-7.3
2012	02.03.2012	09:00:40	1008.5	1.95	84.4	-7.2
2012	02.03.2012	09:20:39	1008.6	1.956	85.3	-7.3
2012	02.03.2012	09:40:40	1008.6	1.978	84.3	-7
2012	02.03.2012	10:00:39	1008.6	1.998	84.5	-6.9
2012	02.03.2012	10:20:41	1008.5	2.023	83.6	-6.6
2012	02.03.2012	10:40:39	1008.5	2.036	82.2	-6.3
2012	02.03.2012	11:00:42	1008.5	2.071	81.7	-6
2012	02.03.2012	11:40:39	1008.3	2.221	81.2	-5
2012	02.03.2012	12:00:39	1008.3	2.188	79.4	-4.9
2012	02.03.2012	12:20:39	1008.2	2.199	78	-4.6
2012	02.03.2012	12:40:39	1008.1	2.261	77.2	-4.1
2012	02.03.2012	13:00:39	1007.9	2.306	76.4	-3.7
2012	02.03.2012	13:20:39	1007.8	2.2	72.9	-3.7
2012	02.03.2012	13:40:39	1007.7	2.202	70.8	-3.3
2012	02.03.2012	14:00:39	1007.5	2.199	68.6	-2.9
2012	02.03.2012	14:20:39	1007.4	2.151	67.1	-2.9
2012	02.03.2012	14:40:40	1007.3	2.206	66.3	-2.4
2012	02.03.2012	15:20:40	1007	2.216	65.6	-2.2
2012	02.03.2012	16:00:39	1006.7	2.237	63.8	-1.7
2012	02.03.2012	16:20:41	1006.6	2.212	61.7	-1.4
2012	02.03.2012	16:40:39	1006.4	2.142	58.9	-1.2
2012	02.03.2012	17:00:39	1006.4	2.267	60.5	-0.8
2012	02.03.2012	17:20:39	1006.3	2.195	59.9	-1.1
2012	02.03.2012	17:40:39	1006.3	2.223	62	-1.4
2012	02.03.2012	18:00:39	1006.3	2.198	61.3	-1.4
2012	02.03.2012	18:20:39	1006.3	2.17	60.1	-1.3
2012	02.03.2012	18:40:39	1006.4	2.224	59.8	-0.9
2012	02.03.2012	19:00:39	1006.6	2.17	61	-1.5
2012	02.03.2012	19:20:40	1006.7	2.131	61.7	-1.9
2012	02.03.2012	19:40:40	1006.8	2.12	61.4	-1.9
2012	02.03.2012	20:00:40	1006.8	2.106	60.1	-1.7
2012	02.03.2012	20:20:39	1006.9	2.046	61.5	-2.4
2012	02.03.2012	20:40:39	1006.9	1.956	58.8	-2.4
2012	02.03.2012	21:00:40	1006.9	1.944	55.9	-1.8
2012	02.03.2012	21:20:39	1007	1.937	54.9	-1.6
2012	02.03.2012	21:40:39	1007	1.893	52.1	-1.2
2012	02.03.2012	22:00:41	1007	1.776	49.6	-1.4
2012	02.03.2012	22:20:39	1007.1	1.682	48.4	-1.8
2012	02.03.2012	22:40:39	1007.1	1.66	50.3	-2.5
2012	02.03.2012	23:00:40	1007.2	1.631	51.3	-3
2012	02.03.2012	23:20:39	1007.2	1.58	51.2	-3.4
2012	02.03.2012	23:40:39	1007.2	1.602	53.5	-3.8
2012	03.03.2012	00:00:39	1007.2	1.545	51.2	-3.7
2012	03.03.2012	00:20:39	1007.3	1.531	50	-3.5
2012	03.03.2012	00:40:40	1007.5	1.598	55	-4.2
2012	03.03.2012	01:00:39	1007.7	1.59	56	-4.5
2012	03.03.2012	01:20:39	1007.9	1.529	51.1	-3.8
2012	03.03.2012	01:40:40	1007.9	1.564	51.5	-3.6
2012	03.03.2012	02:00:42	1008	1.647	53.8	-3.5
2012	03.03.2012	02:20:40	1007.9	1.572	49.5	-3
2012	03.03.2012	02:40:39	1007.8	1.533	52	-4
2012	03.03.2012	03:00:40	1007.7	1.559	51.3	-3.6
2012	03.03.2012	03:20:40	1007.6	1.631	51.7	-3.1
2012	03.03.2012	03:40:40	1007.4	1.781	55.6	-2.9
2012	03.03.2012	04:00:39	1007.3	1.691	56.9	-3.9
2012	03.03.2012	04:20:38	1007.1	1.721	56.6	-3.6
2012	03.03.2012	04:40:40	1007	1.84	62.8	-4.1
2012	03.03.2012	05:00:40	1006.9	1.823	62.7	-4.2
2012	03.03.2012	05:20:39	1006.8	1.646	56.2	-4.1
2012	03.03.2012	05:40:39	1006.6	1.636	55	-3.9
2012	03.03.2012	06:00:39	1006.5	1.655	56.9	-4.2
2012	03.03.2012	06:20:39	1006.5	1.95	67	-4.2
2012	03.03.2012	06:40:39	1006.4	2.071	70.1	-4
2012	03.03.2012	07:00:39	1006.3	2.138	72.9	-4.1
2012	03.03.2012	07:20:39	1006.2	2.131	73.2	-4.2
2012	03.03.2012	07:40:39	1006.3	2.109	73	-4.3
2012	03.03.2012	08:00:39	1006.4	2.064	72	-4.4
2012	03.03.2012	08:20:40	1006.5	2.163	72.1	-3.8
2012	03.03.2012	08:40:39	1006.6	2.251	72.3	-3.3
2012	03.03.2012	09:00:40	1006.7	2.262	70.5	-2.9
2012	03.03.2012	09:20:40	1006.7	2.267	68.6	-2.5
2012	03.03.2012	09:40:39	1006.6	2.29	69.3	-2.5
2012	03.03.2012	10:00:40	1006.7	2.325	68.3	-2.1
2012	03.03.2012	10:20:39	1006.7	2.373	69.7	-2.1
2012	03.03.2012	10:20:39	1006.7	2.373	69.7	-2.1
2012	03.03.2012	11:00:42	1006.5	2.423	69.6	-1.8
2012	03.03.2012	11:20:40	1006.5	2.46	68.1	-1.3
2012	03.03.2012	11:40:41	1006.4	2.456	67.5	-1.2
2012	03.03.2012	12:20:39	1006.3	2.53	67.5	-0.8
2012	03.03.2012	12:40:39	1006.2	2.541	66.8	-0.6
2012	03.03.2012	13:00:40	1006.1	2.491	65	-0.5
2012	03.03.2012	13:20:39	1006	2.511	64.1	-0.2
2012	03.03.2012	13:40:39	1005.9	2.537	62	0.4
2012	03.03.2012	14:00:40	1005.8	2.489	59.1	0.8
2012	03.03.2012	14:20:39	1005.8	2.457	57.5	1
2012	03.03.2012	14:40:39	1005.8	2.384	54.6	1.3
2012	03.03.2012	15:00:39	1005.8	2.251	51.2	1.4
2012	03.03.2012	15:20:39	1005.8	2.232	49.7	1.7
2012	03.03.2012	15:40:39	1005.9	2.086	44.2	2.4
2012	03.03.2012	16:00:39	1006	2.156	46	2.3
2012	03.03.2012	16:20:41	1006	2.124	45	2.4
2012	03.03.2012	16:40:39	1006	2.058	41.5	3.1
2012	03.03.2012	17:00:39	1006.1	1.931	38.4	3.3
2012	03.03.2012	17:20:39	1006.1	1.874	37	3.4
2012	03.03.2012	17:40:39	1006.2	2.278	46.9	2.8
2012	03.03.2012	18:00:41	1006.3	2.135	44.3	2.7
2012	03.03.2012	18:20:41	1006.5	2.005	41.9	2.6
2012	03.03.2012	18:40:40	1006.7	2.086	43.6	2.6
2012	03.03.2012	19:40:39	1007.3	2.275	52.2	1.3
2012	03.03.2012	20:00:42	1007.5	2.591	59	1.4
2012	03.03.2012	20:20:40	1007.6	2.587	60.2	1.1
2012	03.03.2012	20:40:39	1007.8	2.609	62.5	0.7
2012	03.03.2012	21:00:39	1007.9	2.548	62.4	0.4
2012	03.03.2012	22:00:39	1008.6	2.467	63.6	-0.3
2012	04.03.2012	03:20:41	1010.4	2.286	68.9	-2.4
2012	04.03.2012	03:40:39	1010.5	2.264	70.3	-2.8
2012	04.03.2012	04:00:39	1010.6	2.239	70.6	-3
2012	04.03.2012	04:20:38	1010.7	2.19	71.7	-3.5
2012	04.03.2012	04:40:40	1010.8	2.164	69.8	-3.3
2012	04.03.2012	05:00:41	1010.9	2.166	70.4	-3.4
2012	04.03.2012	05:20:39	1011.1	2.163	71.9	-3.7
2012	04.03.2012	05:40:38	1011.2	2.148	72.5	-3.9
2012	04.03.2012	06:00:39	1011.3	2.184	73.7	-3.9
